Id,Name,Type,UnitPrice
abb1e80b-97fd-47cd-b6cd-d9d31c1d3b29,Lemon Cake,Cake,7000
7accefac-2845-4305-861b-56d104a30a64,Cappuccino Coffee,Coffee,4500
abd4c799-6399-4c62-af8f-1bc48af17186,Chocolate Cake,Cake,7000
21a7b780-8b6c-4df0-b5d6-ea510434d919,Watermelon Juice,Juice,4500
665be070-c821-4500-955a-241c7bfa61af,Scone Bread,Bread,4500
7655212a-be1c-491b-8597-7b11078ca945,Cappuccino Coffee,Coffee,4500
dede2253-f8fe-420c-9efa-0bb59b5af564,Carrot Cake,Cake,7000
f760b96b-363f-4e32-8ef9-40fb7262cf9c,Chocolate Cake,Cake,7000
951aef55-090f-4ba4-941c-c9dffed58e4c,Carrot Cake,Cake,7000
7b2b9516-d4dd-492c-b326-9cd6b40379f4,bagel Bread,Bread,6000
43c8221f-690a-4a5f-bbbf-cf77caa8f662,croissant Bread,Bread,4000
6bd4b426-74a8-4b15-bb7f-d815b680c9ae,croissant Bread,Bread,4000
26a7c9bc-7759-44d0-ab42-9c1411df8b2d,Americano Coffee,Coffee,3000
b3bc2176-e611-40b5-90d8-b63c2019318d,Grape Juice,Juice,4500
8d8be348-d979-4a85-be70-8e8bc9b900c7,Strawberry Cake,Cake,7000
0d5e41d1-7dff-43b4-b9f0-d711bdd14808,croissant Bread,Bread,4000
eeb203b2-564c-4c63-bb03-e6beb07cb954,Espresso Coffee,Coffee,2500
1af01112-9fc4-49b6-90c0-e60db2223e57,Mocha Coffee,Coffee,5000
ee152006-c5b4-4484-bb83-a7c6a66b50ab,Mocha Coffee,Coffee,5000
7315ef8c-4fb9-4b77-a1af-4ce290bdd957,croissant Bread,Bread,4000
0a6067f6-08ff-4c15-acd9-1e1dae6a046f,Pineapple Juice,Juice,4500
edc143a0-c0cf-47fb-870d-2953a668f12f,Americano Coffee,Coffee,3000
14fd4378-9fd0-46b8-8fe9-10bf6d5fb060,Carrot Cake,Cake,7000
5cb011dd-de59-4e49-9bc7-b08cd68a95b0,Latte Coffee,Coffee,4000
ca2e4343-9958-4498-a77a-21bcd2577225,croissant Bread,Bread,4000
3cc7855d-4bf2-49c6-86f6-80c96f527c4d,Watermelon Juice,Juice,4500
6fcc5977-4f1a-49a3-aec0-9d537b4db63a,Orange Juice,Juice,4500
b3c40ab4-ec76-47c5-8fa6-f341fee827da,bagel Bread,Bread,6000
c9f1da7f-9eff-42b1-ade4-6c220881e440,Espresso Coffee,Coffee,2500
51d59e89-029f-4073-b502-daf3b5130d12,Grape Juice,Juice,4500
56a572e8-8977-43b7-b54a-ca12d6db6c0d,Grape Juice,Juice,4500
cee35118-6651-4e3c-a69b-58c48831c867,Watermelon Juice,Juice,4500
1266a7a2-2202-4e17-a0ea-30efb9eb6f35,Strawberry Cake,Cake,7000
6fe45b44-a5df-4d58-89de-2facfa52e89b,Cappuccino Coffee,Coffee,4500
4add50bf-5e02-4149-bde0-6cbee081ce01,croissant Bread,Bread,4000
390ca7c7-a668-4077-bb39-8b2676c7eb5f,Strawberry Cake,Cake,7000
aec69eb1-a8a6-43eb-a4bf-81083d4b3cd9,croissant Bread,Bread,4000
ed476f81-5815-4e68-a8c6-6e34fbc4c64a,bagel Bread,Bread,6000
0ea5a723-2d20-41c5-bc5b-cf7b952d9a91,Red Velvet Cake,Cake,7000
909622a5-674c-443a-9423-4ab9ee5812e8,Americano Coffee,Coffee,3000
e429fe29-19bd-4338-9490-0e49b07b7602,Mocha Coffee,Coffee,5000
5d43aca6-bc1d-401c-8f84-ad342a239213,Espresso Coffee,Coffee,2500
7025182a-22be-42e9-9277-918c2f1de3b0,Grape Juice,Juice,4500
e06ba4b0-1a49-4a5c-89e1-029d59308ba6,Grape Juice,Juice,4500
2367fe7a-927d-4d0e-ae00-bf58ef289542,Lemon Cake,Cake,7000
1ca94d2a-0478-4568-ac03-b4235bdddce8,croissant Bread,Bread,4000
ac2015a8-20e7-469d-8d7a-a112f87c0580,Scone Bread,Bread,4500
35f30369-e55e-41b9-a05e-0cbd17acc728,Latte Coffee,Coffee,4000
8055077a-12eb-4071-89d5-20998c8167d5,Mont blanc Bread,Bread,8000
0e88084e-78ec-4a4e-a5ad-327b0cba63ff,Orange Juice,Juice,4500
