Id,Name,Type,Address
3c2beef8-5ed7-49f1-bed2-694cc4136ca2,스타벅스 잠실6호점,스타벅스,대전 유성구 39로 67
27db1474-a2ea-46cd-a358-854f4cd2bc25,요거프레소 합정5호점,요거프레소,서울 송파구 46대로 23
60f8abca-e6af-4d98-9745-82ca2ed69fa0,더벤티 합정2호점,더벤티,부산 수영구 71길 87
3600673c-c82e-4ebf-bebc-a10b7b106939,컴포즈커피 합정10호점,컴포즈커피,시흥 정왕동 12길 6
9c7e39bc-c334-452c-9694-5501b145ff97,빽다방 북촌10호점,빽다방,울산 동구 68로 15
f10d0920-1b99-4a9d-9aa8-1ed48d12179d,폴 바셋 북촌2호점,폴 바셋,시흥 정왕동 58길 99
a9b3a0c3-70ec-4b46-aa77-0f0243f79824,빽다방 합정6호점,빽다방,부산 수영구 32로 98
adc642db-b254-488f-b35b-3935d6e63c80,폴 바셋 신촌1호점,폴 바셋,시흥 정왕동 19대로 11
29c9931d-52ac-4d77-8b2b-a0d579920669,쥬씨 합정9호점,쥬씨,서울 관악구 60로 33
c77418ba-7614-44ea-bb29-cdf7f0ef8fb4,폴 바셋 합정3호점,폴 바셋,인천 부평구 29로 7
d3b09969-bd46-4f49-94fb-08a3e0471e29,이디야 잠실1호점,이디야,울산 동구 70로 52
dc7e539c-6a01-49c4-a44f-65462aec2788,폴 바셋 서촌10호점,폴 바셋,시흥 정왕동 42대로 17
a5542aee-3ad5-4084-ae37-0bd4a6288202,스타벅스 강서8호점,스타벅스,부산 수영구 40대로 93
3f89c27b-7673-4d4a-9c6f-12f3fc2c2991,요거프레소 북촌10호점,요거프레소,울산 동구 81대로 19
ab5a8c9d-10ac-42e7-9332-7f6c61980f11,더벤티 합정1호점,더벤티,울산 동구 57로 89
a19a379a-41cd-4db9-a778-2fe53c811a32,더벤티 북촌7호점,더벤티,서울 관악구 56대로 82
974c7589-9ebc-4fc1-9e66-ee51a3caa37e,투썸플레이스 잠실1호점,투썸플레이스,대전 유성구 19길 83
0d120a2c-dd91-42b9-9ac0-6e88a57916d7,이디야 신촌6호점,이디야,서울 관악구 64길 57
00df1a36-653f-4445-a8ac-a57c8430d098,스타벅스 홍대3호점,스타벅스,인천 부평구 85로 34
e0d11fbd-4172-4d79-96e4-cd6a870be003,쥬씨 서촌6호점,쥬씨,대전 유성구 69대로 89
721a928d-003e-49a5-8e7b-0a655e85d058,이디야 강서7호점,이디야,울산 동구 21로 12
0e28bb2c-02b6-4993-9f44-342ab74208fc,컴포즈커피 강서3호점,컴포즈커피,인천 부평구 94길 14
911daec0-4298-4d4d-aaa1-a0d43e4648df,이디야 강서7호점,이디야,시흥 정왕동 10로 17
bc10dc8a-9d4b-4418-9a07-a0de7a22a793,더벤티 강서1호점,더벤티,대전 유성구 58대로 50
460e5e34-74df-4022-91a6-5b013b5f0ced,메가커피 강서10호점,메가커피,시흥 정왕동 57로 49
baa2b96d-a624-4ef9-9e14-f81ae00a701c,빽다방 합정1호점,빽다방,서울 관악구 70로 24
6fa76576-44d5-4ed1-b604-aa19931abbc2,이디야 잠실3호점,이디야,서울 관악구 28길 86
