Id,OrderAt,StoreId,UserId
e16e04a2-e5f8-424d-ab7f-6f5c2a406e14,2024-04-30 22:15:38,137803e6-e4a8-4083-a158-17ea9e0cab72,c7d46326-d8db-4e66-9fd5-a11522a43644
e54ab39f-cbd8-46f3-9744-820886f63a76,2023-01-19 18:56:53,3a3f765e-5c59-4e30-9b4b-bd4d695d631e,52174a55-d3cb-473e-8a25-b94d260c5212
45f3a2e0-8dee-44e6-8784-81623e7b482d,2023-03-23 14:37:35,1fa10a60-2cf7-4aba-8db1-fde3ae43f5a7,17422c17-dc4e-44b2-b0c6-ee64e801039d
82a638d9-547a-4e95-aebc-cd1634241ab1,2024-03-20 15:41:17,74be4aa0-f3a2-4220-9d20-64d4f6d3329b,64ecd066-e46e-487c-8023-2d7b0ee4aff0
fb3a235f-afc4-4bf9-bcf2-18a6c244d5ee,2024-01-19 22:12:27,2707f596-f212-4b01-8acf-2989d3ba593b,0fd8a6cd-8e1c-4c50-b65e-e42becb61903
e4128130-9048-4525-97b2-31e6699122f0,2023-03-23 13:47:24,63c863fa-8cdd-4216-8974-3db54c8f2646,4bfe10f7-cb81-4d7a-9c8c-cac59860a9ba
7608d82f-8062-467e-bd85-04bc02014a44,2023-11-29 17:28:19,c288729e-e847-42f1-8fc6-ed94fb9ee5ba,f2089c2c-df00-45db-8b38-4b4b6c4899a2
460178ed-1da8-43fe-a1da-06e34d7aed05,2023-01-14 17:45:19,8739cda6-3dd0-4da0-b797-00152ab52d6f,810b9fd3-1548-479a-a275-ae4c3b70179b
510a7c0f-7f66-4659-bae5-2dc381eec33f,2023-12-09 11:23:52,ba85fdbc-4e18-4198-954c-29ea935009ac,b135428a-9a17-4aff-8aac-4809de34242b
9160b7a5-2dd8-4d9f-8640-499127316962,2024-05-06 21:10:15,6411ebf0-0c08-4f32-af19-ea2533b4b7c2,7c3a2edd-1101-41d6-886b-7884d72c44f0
627f6e4c-715b-4380-b49c-f9185bd20218,2023-09-15 20:58:48,234e7383-52fb-4e5c-98f4-2a8750c83c42,ce958433-2ece-48af-8e4e-f9d42b2c5872
593bb9b6-a54f-4078-9264-a1adca35a6e3,2024-06-26 00:11:14,137803e6-e4a8-4083-a158-17ea9e0cab72,9b7dd9fb-95ac-4518-ba1c-a2b0a0001bef
